x,y,z,r,p,y
0.31258169199546904,-0.0,0.35584069086630765,-0.0,0.0,-0.0
0.3405191165191336,36.16617174892868,0.28671589864493635,-114.05090699929093,16.157840249424442,36.16617174892868
0.4067795049295281,-155.91701034886557,0.3248053017935233,131.2383327950683,-26.28934976549372,-155.91701034886557
0.44775344139801604,-141.70888412299794,0.2755682971440748,145.74971633270067,-44.36542354319004,-141.70888412299794
0.43434643586767296,-35.01028142046847,0.37455797999093915,-66.59197135236505,-40.910049275345344,-35.01028142046847
0.38778798147452315,118.06249429577989,0.3895952506887862,127.90648348479327,9.276902399950918,118.06249429577989
0.33020346549071256,-91.27872592107215,0.3534646058766875,-78.10621201139305,11.958797295716648,-91.27872592107215
0.2940891144809003,-88.26841926335614,0.3635542048949534,99.83080832785568,-44.4311976753467,-88.26841926335614
0.25611593987291337,86.68214066814464,0.40118138342766685,75.30394015160951,56.4883031387576,86.68214066814464
0.35384942731958613,61.151898530204825,0.40417358977757645,-55.12713808263793,33.488905843396935,61.151898530204825
0.3762535343964561,-77.9180856078147,0.5005496599702461,-97.45154481466733,-1.7538370701243184,-77.9180856078147
0.3721779575181946,-88.25941858715616,0.5717586564607315,88.97911937650734,47.51426711031595,-88.25941858715616
0.40376807263980774,-172.60645520902614,0.48955603039644374,-64.33250019664953,-68.95729906311647,-172.60645520902614
0.39669777382094606,35.90797822969853,0.5478615149899068,-171.8608287602587,32.97718359163471,35.90797822969853
